ПО/не ПО,Код (Соответствие),Комментарий,Версия продукта (Соответствие)
не ПО,HomePlatformSettingsUI,framework,1
не ПО,HomePlatformSettingsUI,framework,1.0
не ПО,HomePlatformSettingsUI,framework,
не ПО,HomeRecommendationEngine,framework,1.0
не ПО,HomeRecommendationEngine,framework,
не ПО,HomeUI,framework,
не ПО,hostinfo,,2.2-alt7
ПО,HP Easy Scan,,1.10.0
ПО,HP Smart,,14.2.0
ПО,HP Smart,,14.4.0
непонятно,HPGL In,,22.0.0 v1 RUS (3009)
не ПО,HSTouchHIDService,модуль,
не ПО,HTTPServer,framework,
ПО,HuionTablet,,15.6.3.88
не ПО,HumanUnderstandingEvidence,framework,1.0
не ПО,HumanUnderstandingEvidence,framework,
не ПО,HumanUnderstandingFoundation,framework,1.0
не ПО,HumanUnderstandingFoundation,framework,
не ПО,Hungarian - English,языковой файл,1.0
не ПО,hunspell-en-au,языковой файл,1:2018.04.16-1
не ПО,hunspell-en-ca,языковой файл,1:2018.04.16-1
не ПО,hunspell-en-za,языковой файл,1:6.4.3-1
непонятно,hwclock,,2.36.1-alt2
ПО,HWMonitor,,6.26.1440
не ПО,Hydra,framework,1.1.9
не ПО,Hydra,framework,
не ПО,Hypervisor,framework,
не ПО,iAd,framework,
не ПО,IAP,framework,
не ПО,IASUtilities,framework,
не ПО,IASUtilitiesCore,framework,1.0
не ПО,IASUtilitiesCore,framework,
непонятно,icaclient,,21.8.0.40
не ПО,ICADevices,framework,
не ПО,iCalendar,framework,
не ПО,ICE,framework,
не ПО,iCloud+,нативное приложение,1.0
не ПО,iCloud+,нативное приложение,
не ПО,iCloud|DAuthentication,пакет,
не ПО,iCloudAccountsMigratorPlugin,пакет,
не ПО,iCloudDriveCore,framework,1.0
не ПО,iCloudDriveCore,framework,
не ПО,iCloudDriveService,framework,1.0
не ПО,iCloudDriveService,framework,
не ПО,iCloudDynamicUIPlugin,пакет,1.0
не ПО,iCloudDynamicUIPlugin,пакет,
не ПО,iCloudNotification,framework,1.0
не ПО,iCloudNotification,framework,
не ПО,iCloudQuota,framework,1.0
не ПО,iCloudQuota,framework,
не ПО,iCloudQuotaUI,framework,1.0
не ПО,iCloudQuotaUI,framework,
не ПО,iCloudSwiftUIPlugin,пакет,1.0
не ПО,iCloudSwiftUIPlugin,пакет,
не ПО,iCloudUIPlugin,пакет,
непонятно,icon-theme-adwaita,,40.1.1-alt1
не ПО,IconFoundation,framework,552
не ПО,IconFoundation,framework,493
не ПО,IconFoundation,framework,
не ПО,IconServices,framework,
непонятно,iconv,,2.32-alt4
не ПО,IdentityLookup,framework,
не ПО,IdentityLookupUI,framework,
ПО,IDLE,,3.10.0
ПО,IDLE,,3.6.5
ПО,IDLE,,3.8.5
ПО,IDLE,,3.9.4
ПО,IDLE,,3.7.4
ПО,IDLE,,3.10.2
ПО,IDLE,,2.7.18
ПО,IDLE,,3.10.5
ПО,IDLE,,3.11.1
ПО,IDLE,,3.9.6
ПО,IDLE,,3.10.4
ПО,IDLE,,3.9.9
ПО,IDLE,,3.10.10
ПО,IDLE,,3.10.6
ПО,IDLE,,3.11.3
ПО,IDLE,,3.11.4
ПО,IDLE,,3.8.1
ПО,IDLE,,3.9.7
ПО,IDLE,,2.7.16
ПО,IDLE,,2.7.18rc1
ПО,IDLE,,3.10.1
ПО,IDLE,,3.10.11
ПО,IDLE,,3.10.3
ПО,IDLE,,3.10.8
ПО,IDLE,,3.11.0
ПО,IDLE,,3.11.2
ПО,IDLE,,3.6.15
ПО,IDLE,,3.7.0
ПО,IDLE,,3.7.7
ПО,IDLE,,3.8.2
ПО,IDLE,,3.9.0
ПО,IDLE,,3.9.12
ПО,IDLE,,3.9.2
ПО,IDLE,,3.9.5
не ПО,IdleTimerServices,framework,
не ПО,IDS,framework,
не ПО,IDSAccountNotificationPlugin,пакет,
не ПО,IDSBlastDoorSupport,framework,1.0
не ПО,IDSBlastDoorSupport,framework,
не ПО,IDSFoundation,framework,
не ПО,IDSHashPersistence,framework,
не ПО,IDSKVStore,framework,
не ПО,IDSServiceOwner,пакет,1.0
не ПО,IDSServiceOwner,пакет,
не ПО,IDSSystemPreferencesSignln,framework,
непонятно,IFC,,22.0.0 v1 RUS (3009)
непонятно,ifrename,,29-alt11
ПО,IINA,,1.3.1
ПО,IINA,,1.1.2
ПО,IINA,,1.3.3
непонятно,iio-sensor-proxy,,2.8-1ubuntu2
непонятно,ike-scan,,1.9.4-1ubuntu2
не ПО,iLifeMediaBrowser,framework,
ПО,Illustrator,,5.0
непонятно,im-config,,0.44-1ubuntu1.3
ПО,Image Converter,,1.0
не ПО,ImageCapture,framework,
не ПО,ImageCaptureCore,framework,
не ПО,ImageKit,framework,
не ПО,ImagelO,framework,
не ПО,IMAP,framework,
не ПО,IMAssistantCore,framework,
не ПО,IMAVCore,framework,
ПО,iMazing,,2.16.5
ПО,iMazing,,2.17.5
не ПО,IMCore,framework,
не ПО,IMCorePipeline,framework,
не ПО,IMCorePipeline Framework,framework,10.0
не ПО,IMCorePipeline Framework,framework,
не ПО,IMDaemonCore,framework,
не ПО,IMDMessageServices,framework,
не ПО,IMDPersistence,framework,
не ПО,IMFoundation,framework,
ПО,iMovie,,10.1.12
ПО,iMovie,,10.3.5
ПО,iMovie,,10.1.14
ПО,iMovie,,10.1.11
ПО,iMovie,,10.3.3
ПО,iMovie,,10.1.15
ПО,iMovie,,10.2.4
ПО,iMovie,,10.1.13
ПО,iMovie,,10.3.1
ПО,iMovie,,10.3.6
ПО,iMovie,,10.3.4
ПО,iMovie,,10.2.2
ПО,iMovie,,10.1.16
ПО,iMovie,,10.2.5
ПО,iMovie,,10.3.7
ПО,iMovie,,10.1.6
ПО,iMovie,,10.1.9
не ПО,IMServicePlugln,framework,
не ПО,IMServicePluglnSupport,framework,
не ПО,IMSharedlltilities,framework,
не ПО,IMSharedUI,framework,
не ПО,IMSharedUtilities,framework,
не ПО,IMTranscoderAgent,framework,
не ПО,IMTranscoding,framework,
не ПО,IMTransferAgent,framework,
не ПО,IMTransferServices,framework,
не ПО,InAppMessages,framework,1.0
не ПО,InAppMessages,framework,
не ПО,InAppMessagesCore,framework,1.0
не ПО,InAppMessagesCore,framework,
не ПО,IncomingCallFilter,framework,
не ПО,INDAccountNotificationPlugin,пакет,1.0
не ПО,INDAccountNotificationPlugin,пакет,
непонятно,indexhtml-common,,0.6.4-alt1
не ПО,Indonesian - English,языковой файл,1.0
не ПО,InertiaCam,framework,
непонятно,info-install,,6.7-alt1
не ПО,InfoQueryPersonalizationFeatures,framework,1.0
не ПО,InfoQueryPersonalizationFeatures,framework,
не ПО,InformationFlowPlugin,пакет,1.0
не ПО,InformationFlowPlugin,пакет,
непонятно,Infra,,0.36.0
непонятно,init,,1.57
непонятно,initramfs-tools-core,,0.136ubuntu6.7
не ПО,Ink,framework,
ПО,Inkscape,,1.1.1 (c3084ef)
ПО,Inkscape,,1.2.2
ПО,Inkscape,,1.1.0 (c4e8f9e)
ПО,Inkscape,,1.0.0 (4035a4f)
ПО,Inkscape,,1.1.2 (b8e25be8)
непонятно,InputAlternatives,,4.7
непонятно,inputattach,,1:1.7.0-1
не ПО,InputContext,framework,
не ПО,InputMethodKit,framework,
не ПО,InputTranscoder,framework,
ПО,inShort,,5.0
ПО,Insomnia,,2021.5.0
ПО,Insomnia,,2022.7.5
ПО,Insomnia,,2023.1.0
ПО,Insomnia,,2022.6.0
ПО,Insomnia,,2023.2.2
ПО,Insomnia,,2022.2.1
ПО,Insomnia,,2022.3.0
ПО,Insomnia,,2022.7.0
ПО,Insomnia,,2021.7.2
ПО,Insomnia,,2022.4.1
ПО,Insomnia,,2022.5.1
ПО,Insomnia,,2022.4.2
ПО,Insomnia,,2022.5.0
ПО,Insomnia,,2023.4.0
ПО,Insomnia,,2023.2.0
ПО,Insomnia,,2021.2.2
ПО,Insomnia,,2021.5.2
ПО,Insomnia,,2021.6.0
ПО,Insomnia,,2021.7.1
ПО,Insomnia,,2022.2.0
ПО,Insomnia,,2022.7.1
ПО,Insomnia,,2022.7.3
ПО,Insomnia,,2022.7.4
ПО,Insomnia,,2023.3.0
не ПО,Install,framework,
не ПО,Install macOS Ventura,инсталляционный файл,18.3.03
не ПО,Install macOS Ventura,инсталляционный файл,18.5.01
не ПО,Install macOS Ventura,инсталляционный файл,18.3.02
не ПО,Install macOS Ventura,инсталляционный файл,18.4.02
не ПО,InstallAssistantCompatibility,пакет,1.0
не ПО,InstallAssistantCompatibility,пакет,
не ПО,InstallCoordination,framework,1.0
не ПО,InstallCoordination,framework,
не ПО,InstalledContentLibrary,framework,1.0
не ПО,InstalledContentLibrary,framework,
не ПО,InstallerDiagnostics,framework,
не ПО,InstallerPlugins,framework,
не ПО,InstantMessage,framework,
ПО,Instrument Bible,,1.4.0
непонятно,intel-microcode,,3.20230214.0ubuntu0.20.04.1
не ПО,IntelligenceEngine,framework,3204.36.1
не ПО,IntelligenceEngine,framework,3200.51.1
не ПО,IntelligenceEngine,framework,1.0.5
не ПО,IntelligenceEngine,framework,
не ПО,IntelligencePlatform,framework,1.0
не ПО,IntelligencePlatform,framework,
не ПО,IntelligencePlatformCore,framework,1.0
не ПО,IntelligencePlatformCore,framework,
не ПО,IntelligencePlatformInternals,пакет,1.0
не ПО,IntelligencePlatformInternals,пакет,
ПО,Intelligent Hub,,22.01.0
ПО,Intelligent Hub,,21.11.0
ПО,Intelligent Hub,,21.05.0
ПО,Intelligent Hub,,22.05.1
ПО,Intelligent Hub,,22.08.1
ПО,Intelligent Hub,,22.12.0
ПО,IntelliJ IDEA,,2021.3.2
ПО,IntelliJ IDEA,,2021.2.1
ПО,IntelliJ IDEA,,2021.2.4
ПО,IntelliJ IDEA,,2020.2.2
ПО,IntelliJ IDEA,,2021.2.2
ПО,IntelliJ IDEA,,2021.1
ПО,IntelliJ IDEA,,2020.2
ПО,IntelliJ IDEA,,2021.3
ПО,IntelliJ IDEA,,2021.3.3
ПО,IntelliJ IDEA,,2020.2.1
ПО,IntelliJ IDEA,,2022.3.1
ПО,IntelliJ IDEA,,2022.1.4
ПО,IntelliJ IDEA,,2019.2
ПО,IntelliJ IDEA,,2021.1.1
ПО,IntelliJ IDEA,,2021.1.3
ПО,IntelliJ IDEA,,2019.3.3
ПО,IntelliJ IDEA,,2019.3.4
ПО,IntelliJ IDEA,,2020.2.3
ПО,IntelliJ IDEA,,2020.3.3
ПО,IntelliJ IDEA,,2022.2.3
ПО,IntelliJ IDEA,,2022.3
ПО,IntelliJ IDEA,,2022.3.3
ПО,IntelliJ IDEA,,2023.1
ПО,IntelliJ IDEA,,2023.1.2
ПО,IntelliJ IDEA,,2019.1.1
ПО,IntelliJ IDEA,,2019.2.4
ПО,IntelliJ IDEA,,2019.3.1
ПО,IntelliJ IDEA,,2019.3.5
ПО,IntelliJ IDEA,,2019.3.5
ПО,IntelliJ IDEA,,2020.1
ПО,IntelliJ IDEA,,2020.2.3
ПО,IntelliJ IDEA,,2020.2.4
ПО,IntelliJ IDEA,,2020.3
ПО,IntelliJ IDEA,,2020.3.2
ПО,IntelliJ IDEA,,2021.1.2
ПО,IntelliJ IDEA,,2021.2
ПО,IntelliJ IDEA,,2021.2.1
ПО,IntelliJ IDEA,,2021.2.3
ПО,IntelliJ IDEA,,2021.2.3
ПО,IntelliJ IDEA,,2021.3.1
ПО,IntelliJ IDEA,,2021.3.3
ПО,IntelliJ IDEA,,2022.1
ПО,IntelliJ IDEA,,2022.1.2
ПО,IntelliJ IDEA,,2022.1.4
ПО,IntelliJ IDEA,,2022.2.1
ПО,IntelliJ IDEA,,2022.2.3
ПО,IntelliJ IDEA,,2022.2.5
ПО,IntelliJ IDEA,,2022.3.2
ПО,IntelliJ IDEA,,2023.1.2
ПО,IntelliJ IDEA,,2023.1.3
не ПО,Intents,framework,
не ПО,IntentsCore,framework,
не ПО,IntentsFoundation,framework,
не ПО,IntentsServices,framework,
не ПО,IntentsUI,framework,
не ПО,IntentsUICardKitProvider,пакет,1.0
не ПО,IntentsUICardKitProvider,пакет,
не ПО,IntentsUICardKitProviderSupport,framework,1.0
не ПО,IntentsUICardKitProviderSupport,framework,
непонятно,Interactive Schedule,,22.0.0 v1 RUS (3009)
непонятно,interactivesystem,,sisyphus-alt23
не ПО,InterfaceNamer,пакет,
не ПО,InternalSwiftProtobuf,framework,1.0
не ПО,InternalSwiftProtobuf,framework,
не ПО,InternationalAccountUpdater,пакет,
не ПО,InternationalSupport,framework,
не ПО,InternationalTextSearch,framework,
не ПО,InternetAccounts,framework,
не ПО,InternetAccountsNotificationPlugin,пакет,
непонятно,InternetAccountsSettingsExtension,,1.0
не ПО,InternetAccountsUAUPlugin,пакет,
не ПО,InternetSharingPreference,пакет,
не ПО,IntIPreferences,framework,
не ПО,IntIPreferencesUI,framework,
непонятно,IntlPreferencesUI,,398.60
не ПО,InvalidateHmac,Расширение ядра,1.0
не ПО,InvalidateHmac,Расширение ядра,
ПО,InVision Studio,,1.28.2
непонятно,IO80211,,1.0
не ПО,IO80211Family,Расширение ядра,
не ПО,IO80211FamilyLegacy,Расширение ядра,12.0
не ПО,IO80211FamilyLegacy,Расширение ядра,
не ПО,IOAccelerator2D,модуль,
не ПО,IOAcceleratorFamily,Расширение ядра,
не ПО,IOAccessoryManager,Расширение ядра,1.0.0
не ПО,IOAccessoryManager,Расширение ядра,
не ПО,IOAccessoryPortUSB,Расширение ядра,1.0.0
не ПО,IOAccessoryPortUSB,Расширение ядра,
не ПО,IOACPIFamily,Расширение ядра,
не ПО,IOAHCIFamily,Расширение ядра,
не ПО,IOAnalytics,модуль,1.0
не ПО,IOAnalytics,модуль,
не ПО,IOARCFamily,Расширение ядра,
не ПО,IOATAFamily,Расширение ядра,
не ПО,IOAudio2Family,Расширение ядра,1.0.0
не ПО,IOAudio2Family,Расширение ядра,
не ПО,IOAudioFamilv,Расширение ядра,
не ПО,IOAVBFamily,Расширение ядра,
не ПО,IOAVFamily,Расширение ядра,1.0.0
не ПО,IOAVFamily,Расширение ядра,
не ПО,IOBDStorageFamily,Расширение ядра,
не ПО,IOBiometricFamily,Расширение ядра,1.0
не ПО,IOBiometricFamily,Расширение ядра,
не ПО,IOBluetoothFamily,Расширение ядра,
не ПО,IOBluetoothHIDDriver,Расширение ядра,
не ПО,IOBluetoothHostControllerPCleTransport,Расширение ядра,
не ПО,IOBluetoothHostControllerTransport,Расширение ядра,
не ПО,IOBluetoothHostControllerUARTTransport,Расширение ядра,
не ПО,IOBluetoothHostControllerUSBTransport,Расширение ядра,
не ПО,IOBluetoothPacketLogger,Расширение ядра,
не ПО,IOBluetoothSerialManager,Расширение ядра,
не ПО,IOBluetoothUI,framework,1.0
не ПО,IOBluetoothUI,framework,
не ПО,IOBufferCopyController,Расширение ядра,
не ПО,IOBufferCopyEngineFamily,Расширение ядра,
не ПО,IOCDStorageFamily,Расширение ядра,
не ПО,IOCEC,framework,1.0
не ПО,IOCEC,framework,
не ПО,IOCECFamily,Расширение ядра,1.0
не ПО,IOCECFamily,Расширение ядра,
не ПО,IOCryptoAcceleratorFamily,Расширение ядра,1.0.1
не ПО,IOCryptoAcceleratorFamily,Расширение ядра,
не ПО,IODARTFamily,Расширение ядра,1.0
не ПО,IODARTFamily,Расширение ядра,
не ПО,IODisplayPortFamily,Расширение ядра,1.0.0
не ПО,IODisplayPortFamily,Расширение ядра,
не ПО,IODVDStorageFamily,Расширение ядра,
не ПО,IOFireWireAVC,Расширение ядра,
не ПО,IOFireWireFamily,Расширение ядра,
не ПО,IOFireWireSBP2,Расширение ядра,
не ПО,IOFireWireSerialBusProtocolTransport,Расширение ядра,
непонятно,IOGPU,,65.40.15
непонятно,IOGPU,,65.0.22
непонятно,IOGPU,,35.29
не ПО,IOGPUFamily,Расширение ядра,65.40.15
не ПО,IOGPUFamily,Расширение ядра,65.0.22
не ПО,IOGPUFamily,Расширение ядра,35.29
не ПО,IOGPUFamily,Расширение ядра,
не ПО,IOGraphicsFamily,Расширение ядра,
не ПО,IOHDCPFamily,Расширение ядра,1.0.0
не ПО,IOHDCPFamily,Расширение ядра,
не ПО,IOHDIXController,Расширение ядра,
не ПО,IOHIDDFREventFilter,модуль,
не ПО,IOHIDEventProcessorFilter,модуль,
не ПО,IOHIDEventServicePlugin,модуль,
не ПО,IOHIDEventSystemStatistics,модуль,1.0
не ПО,IOHIDEventSystemStatistics,модуль,
не ПО,IOHIDFamily,Расширение ядра,
не ПО,IOHIDKeyboardFilter,модуль,
не ПО,IOHIDNXEventTranslatorServiceFilter,модуль,
не ПО,IOHIDNXEventTranslatorSessionFilter,модуль,
не ПО,IOHIDPointerScrollFilter,модуль,
не ПО,IOHIDPowerSource,Расширение ядра,1.0
не ПО,IOHIDPowerSource,Расширение ядра,
не ПО,IOHIDRemoteSensorSessionFilter,модуль,1.0
не ПО,IOHIDRemoteSensorSessionFilter,модуль,
не ПО,IOKit,framework,
не ПО,IOKitRegistryCompatibility,Расширение ядра,1.0
не ПО,IOKitRegistryCompatibility,Расширение ядра,
не ПО,IOKitten,framework,
не ПО,IOlmageLoader,Расширение ядра,
не ПО,IOlmageLoader,framework,
не ПО,IOMobileFramebuffer,framework,343.0.0
не ПО,IOMobileFramebuffer,framework,
не ПО,IOMobileGraphicsFamily,Расширение ядра,343.0.0
не ПО,IOMobileGraphicsFamily,Расширение ядра,
не ПО,IOMobileGraphicsFamily-DCP,Расширение ядра,343.0.0
не ПО,IOMobileGraphicsFamily-DCP,Расширение ядра,
не ПО,IONDRVSupport,Расширение ядра,
не ПО,IONetworkFamily,Расширение ядра,1.0
не ПО,IONetworkFamily,Расширение ядра,
не ПО,IONetworkingFamily,Расширение ядра,
не ПО,IONVMeFamily,Расширение ядра,
не ПО,IOPCIFamily,Расширение ядра,
не ПО,IOPIatformPluginFamily,framework,
не ПО,IOPlatformPluginFamily,Расширение ядра,
не ПО,IOPresentment,framework,
не ПО,IOReportFamily,Расширение ядра,
не ПО,IORSMFamily,Расширение ядра,1.0
не ПО,IORSMFamily,Расширение ядра,
не ПО,iOS App Installer,нативное приложение,1.0
не ПО,iOS App Installer,нативное приложение,
не ПО,IOSCSIArchitectureModelFamily,Расширение ядра,
не ПО,IOSCSIParallelFamily,Расширение ядра,
не ПО,IOSerialFamily,Расширение ядра,
не ПО,IOSkywalkFamily,Расширение ядра,
не ПО,IOSlaveProcessor,Расширение ядра,
не ПО,IOSlowAdaptiveClockingFamily,Расширение ядра,
не ПО,IOSMBusFamily,Расширение ядра,
не ПО,IOStorageFamily,Расширение ядра,
не ПО,IOStreamFamily,Расширение ядра,
не ПО,IOSurface,Расширение ядра,
не ПО,IOSurface,framework,
не ПО,IOSurfaceAccelerator,framework,1.0.0
не ПО,IOSurfaceAccelerator,framework,
не ПО,IOTextEncryptionFamily,Расширение ядра,1.0.0
не ПО,IOTextEncryptionFamily,Расширение ядра,
не ПО,IOThunderboltFamily,Расширение ядра,
не ПО,IOTimeSyncFamily,Расширение ядра,
непонятно,IOUIAgent,,1.0
не ПО,IOUSBDeviceFamily,Расширение ядра,2.0.0
не ПО,IOUSBDeviceFamily,Расширение ядра,
не ПО,IOUSBFamily,Расширение ядра,
не ПО,IOUSBHost,framework,
не ПО,IOUSBHost Family,Расширение ядра,
не ПО,IOUSBMassStorage Driver,Расширение ядра,
не ПО,IOUserEthernet,Расширение ядра,
не ПО,IOUserSerial,Расширение ядра,
не ПО,IOVideoFamily,Расширение ядра,
непонятно,ip-client,,5.6
непонятно,ip-client,,1.0
непонятно,ip-client,,6.0.60b1 Beta
непонятно,ip-client,,7.0.27b1 Beta
не ПО,IPConfiguration,пакет,
не ПО,IPMonitor,пакет,
не ПО,iPod,framework,
не ПО,iPodDriver,Расширение ядра,
не ПО,iPodSync,framework,
не ПО,iPodUpdater,framework,
не ПО,iPodVoiceOver,framework,1.4.4
не ПО,iPodVoiceOver,framework,
непонятно,ippusbxd,,1.34-2ubuntu1
не ПО,IPTelephony,framework,
ПО,iRightMouse Lite,,1.2.1
ПО,IRM Viewer,,2.0.2
ПО,IRM Viewer,,2.1.3
не ПО,ISSupport,framework,
ПО,iStat Menus,,6.60
не ПО,Italian,языковой файл,1.1
не ПО,Italian - English,языковой файл,1.1
ПО,iTerm2,,3.4.19
ПО,iTerm2,,3.4.18
ПО,iTerm2,,3.4.16
ПО,iTerm2,,3.4.15
ПО,iTerm2,,3.3.12
ПО,iTerm2,,3.3.7
ПО,iTerm2,,3.4.10
ПО,iTerm2,,3.4.12
ПО,iTerm2,,3.3.9
ПО,iTerm2,,3.4.14
ПО,iTerm2,,3.4.3
ПО,iTerm2,,3.4.4
ПО,iTerm2,,3.4.6
ПО,iThoughtsX,,9.2
ПО,iThoughtsX,,9.3
ПО,Itsycal,,0.13.3
ПО,Itsycal,,0.12.6
ПО,Itsycal,,0.13.1
не ПО,iTunesCloud,framework,1.0
не ПО,iTunesCloud,framework,
не ПО,iTunesLibrary,framework,
непонятно,iucode_tool,,2.3.1-alt2
непонятно,iucode-tool,,2.3.1-1
ПО,IvideonClient,,6.13.1
не ПО,iWorkXPC,framework,
ПО,iZip,,3.6
ПО,iZip,,4.3
ПО,iZip Unarchiver,,3.0.0
ПО,Jabber,,14.1.1
ПО,Jabber,,14.0.3
ПО,Jabber,,12.9.6
ПО,Jabber,,14.0.1
ПО,Jabber,,14.1.2
непонятно,JabberVDI,,14.0.1
ПО,JaCartaUC,,3.0.0
не ПО,Japanese,языковой файл,1.3
не ПО,Japanese - English,языковой файл,1.1
не ПО,JapaneseIM-KanaTyping,нативное приложение,6.3
не ПО,JapaneseIM-KanaTyping,нативное приложение,
не ПО,JapaneseIM-RomajiTyping,нативное приложение,6.3
не ПО,JapaneseIM-RomajiTyping,нативное приложение,
ПО,Jaspersoft Studio,,6.17.0
ПО,Jaspersoft Studio Professional,,7.8.0
ПО,Java SE 8,,1.0
не ПО,java-common,,0.72
не ПО,JavaLauncher,нативное приложение,319
не ПО,JavaLauncher,нативное приложение,
не ПО,JavaLaunching,framework,1.0
не ПО,JavaLaunching,framework,
не ПО,JavaNativeFoundation,framework,81
не ПО,JavaNativeFoundation,framework,80
не ПО,JavaNativeFoundation,framework,
не ПО,JavaRuntimeSupport,framework,
не ПО,JavaScriptAppleEvents,framework,
не ПО,JavaScriptOSA,framework,
не ПО,JavaVM,framework,
ПО,Jazz,,1.18.12
ПО,Jazz,,1.31.33
ПО,Jazz,,1.29.25
ПО,Jazz,,1.17.9
ПО,Jazz,,1.25.19
непонятно,JDK Mission Control,,7.1.2
не ПО,Jet,framework,
ПО,JetBrains Rider,,2021.3.3
ПО,JetBrains Rider,,2022.3.2
ПО,JetBrains Rider,,2019.2.3
ПО,JetBrains Rider,,2020.1.1
ПО,JetBrains Rider,,2021.1.2
ПО,JetBrains Rider,,2021.1.4
ПО,JetBrains Rider,,2021.3.1
ПО,JetBrains Rider,,2023.1.2
ПО,JetBrains Toolbox,,1.28.1.15219
ПО,JetBrains Toolbox,,1.15.5796
ПО,JetBrains Toolbox,,1.27.1.13673
ПО,JetBrains Toolbox,,1.27.2.13801
не ПО,jetbrains-datagrip,,2021.3.4
не ПО,jetbrains-intellij-idea-ultimate-2021,,2.4-3
не ПО,jetbrains-pycharm-professional-2021,,3.2-3
не ПО,JetEngine,framework,
не ПО,JetEngine_SwiftUI,framework,
не ПО,JetPack,framework,1.0
не ПО,JetPack,framework,
не ПО,JetUI,framework,
ПО,Jira,,148.0.0
не ПО,JITAppKit,framework,1.0.13
не ПО,JITAppKit,framework,
ПО,Jolt of Caffeine,,1.1
ПО,Joplin,,1.0.220
ПО,jose,,10-2build2
непонятно,joxi,,3.0.42
не ПО,JoyConHIDServicePlugin,модуль,1.0
не ПО,JoyConHIDServicePlugin,модуль,
не ПО,JPEGVideoDecoder,пакет,
не ПО,JPEGVideoEncoder,пакет,
ПО,JProfiler,,12.0.3
ПО,JProfiler,,12.0
ПО,JProfiler,,13.0.2
ПО,JProfiler,,11.1
ПО,JProfiler,,11.1.4
ПО,JProfiler,,12.0.4
ПО,JProfiler,,13.0.4
ПО,JumpIn,,1.5.3
ПО,Jumpshare,,3.2.12
ПО,Kafka Tool,,2.0.7
ПО,Kafka Tool,,2.0.4
ПО,Kafka Tool 2,,2.0.8
ПО,Kafka Tool 2,,2.0.9
не ПО,Kafka Tool 2 Installer,инсталляционный файл,2.0.7
ПО,Karabiner-Elements,,12.9.0
ПО,Karabiner-Elements,,12.8.0
ПО,Karabiner-VirtualHIDDevice-Manager,,2.0.0
ПО,Kaspersky Endpoint Security,,11.3.0.320
ПО,Kaspersky Endpoint Security,,11.3.0.400
непонятно,kbd-data,,2.4.0-alt2
ПО,keepass2,,2.44+dfsg-1
ПО,KeePassXC,,2.6.6
ПО,KeePassXC,,2.7.4
ПО,KeePassXC,,2.7.5
ПО,KeePassXC,,2.7.1
ПО,KeepingYouAwake,,1.6.4
ПО,Keka,,1.2.52
ПО,Keka,,1.2.59
ПО,Keka,,1.0.12
ПО,Keka,,1.1.21
ПО,Keka,,1.2.16
ПО,Keka,,1.2.18
ПО,Keka,,1.2.55
ПО,Keka,,1.2.61
ПО,Keka,,1.2.9
ПО,Keka,,1.3.2
не ПО,Kerberos,framework,3.0
не ПО,Kerberos,framework,
не ПО,KerberosAgent,пакет,
не ПО,KerberosHelper,framework,
не ПО,Kernel,framework,
не ПО,KernelEventMonitor,пакет,
не ПО,KernelManagement,framework,
не ПО,KernelRelayHost,Расширение ядра,
непонятно,kesl,,11.2.2-5834
непонятно,kesl,,11.3.0-7476
не ПО,KevboardBacklightServiceFilter,модуль,
не ПО,KextAudit,Расширение ядра,
не ПО,Keyboard Setup Assistant,нативное приложение,1.0
не ПО,Keyboard Setup Assistant,нативное приложение,
не ПО,Keyboard TelemetryServiceFilter,модуль,
не ПО,KeyboardBacklightServiceFilter,модуль,
не ПО,KeyboardLayouts,framework,1.0
не ПО,KeyboardLayouts,framework,
не ПО,KeyboardServices,framework,
непонятно,KeyboardSettings,,1.0
не ПО,KeyboardTelemetryServiceFilter,модуль,1.0
не ПО,KeyboardTelemetryServiceFilter,модуль,
не ПО,KeychainCircle,framework,
не ПО,KeychainDataclassOwner,пакет,1.0
не ПО,KeychainDataclassOwner,пакет,
не ПО,KeychainMigratorUAU,пакет,
не ПО,KeychainSyncAccountNotification,пакет,
не ПО,KeychainSyncAccountUpdater,пакет,
ПО,KeylightPro,,1.2v22
ПО,Keynote,,12.2.1
ПО,Keynote,,9.1
ПО,Keynote,,9.0.1
ПО,Keynote,,10.0
ПО,Keynote,,10.1
ПО,Keynote,,12.0
ПО,Keynote,,11.1
ПО,Keynote,,12.1
ПО,Keynote,,13.1
ПО,Keynote,,9.2
ПО,Keynote,,11.2
ПО,Keynote,,13.0
ПО,Keynote,,9.2.1
ПО,Keynote,,9.0.2
ПО,Keynote,,10.2
ПО,Keynote,,10.3.9
ПО,Keynote,,12.2
ПО,Keynote,,10.3.8
ПО,Keynote,,7.1.1
ПО,Keynote,,8.1
ПО,KeyStore Explorer,,5.5.1
ПО,KeyStore Explorer,,5.5.2
ПО,KeyStore Explorer,,5.4.4
ПО,KeyStore Explorer,,5.5.0
ПО,KeyStore Explorer,,5.4.3
ПО,Kite,,0.20210524.0
ПО,kitty,,0.24.2
ПО,kitty,,0.26.5
ПО,kitty,,0.29.2
непонятно,klnagent64,,14.0.0.4646
не ПО,KnowledgeGraphKit,framework,
не ПО,KnowledgeMonitor,framework,
не ПО,Koa,framework,1.0
не ПО,Koa,framework,
не ПО,KoaMapper,framework,1.0
не ПО,KoaMapper,framework,
не ПО,Korean,языковой файл,1.2
не ПО,Korean - English,языковой файл,1.1
не ПО,kperf,framework,
не ПО,kperfdata,framework,
не ПО,KRExperiments,framework,1.0
